# lams weight z
5.600000000000000000e+01 2.374574261993788183e+06 1.239999999999999991e+00
2.700000000000000000e+01 1.152105301945818402e+07 1.439999999999999947e+00
2.100000000000000000e+01 2.317358096559247002e+06 1.100000000000000089e+00
4.000000000000000000e+01 2.282921094928216655e+06 1.080000000000000071e+00
2.700000000000000000e+01 3.643914947125495411e+06 9.699999999999999734e-01
4.500000000000000000e+01 2.407581457100291736e+06 1.189999999999999947e+00
2.800000000000000000e+01 1.575026123143440112e+06 1.080000000000000071e+00
2.200000000000000000e+01 9.208095857159255072e+06 1.479999999999999982e+00
3.600000000000000000e+01 2.209589719359470997e+06 1.050000000000000044e+00
2.700000000000000000e+01 1.576669185545054264e+06 1.399999999999999911e+00
3.200000000000000000e+01 2.447483356817513239e+06 1.020000000000000018e+00
2.800000000000000000e+01 1.510420059779463103e+06 1.129999999999999893e+00
3.700000000000000000e+01 2.444909997626869474e+06 1.030000000000000027e+00
5.000000000000000000e+01 2.365556280489019584e+06 9.699999999999999734e-01
3.400000000000000000e+01 1.146916963812099397e+07 1.100000000000000089e+00
4.100000000000000000e+01 2.349644335088494234e+06 1.030000000000000027e+00
2.500000000000000000e+01 2.384480886450744700e+06 1.360000000000000098e+00
3.800000000000000000e+01 3.508397806127273478e+06 9.399999999999999467e-01
3.400000000000000000e+01 5.460988562020868063e+06 9.000000000000000222e-01
5.200000000000000000e+01 2.529481825619395822e+06 8.800000000000000044e-01
2.200000000000000000e+01 1.209509918612214364e+07 8.599999999999999867e-01
3.800000000000000000e+01 1.241148099395646527e+07 9.899999999999999911e-01
4.100000000000000000e+01 1.987193924221701222e+06 1.020000000000000018e+00
2.200000000000000000e+01 1.182983106945141964e+07 1.429999999999999938e+00
2.100000000000000000e+01 1.598460168461846886e+06 1.120000000000000107e+00
3.200000000000000000e+01 2.728508374278834555e+06 9.899999999999999911e-01
2.700000000000000000e+01 1.081271683268221654e+07 1.189999999999999947e+00
2.600000000000000000e+01 2.805027043845361564e+06 1.469999999999999973e+00
2.900000000000000000e+01 8.598332880250073969e+06 1.360000000000000098e+00
2.800000000000000000e+01 1.652797856125519844e+06 1.080000000000000071e+00
3.300000000000000000e+01 2.392298358081589919e+06 1.290000000000000036e+00
4.100000000000000000e+01 1.533021397562797647e+06 1.139999999999999902e+00
3.000000000000000000e+01 8.193812420391331427e+06 1.139999999999999902e+00
2.900000000000000000e+01 2.295432176886412315e+06 1.229999999999999982e+00
2.200000000000000000e+01 1.533409059436817886e+06 9.399999999999999467e-01
3.300000000000000000e+01 2.222825642039656639e+06 1.129999999999999893e+00
2.200000000000000000e+01 6.853353626367878169e+06 7.500000000000000000e-01
2.700000000000000000e+01 1.055807892465027049e+07 1.260000000000000009e+00
3.400000000000000000e+01 2.228181877746867016e+06 1.090000000000000080e+00
3.600000000000000000e+01 2.059786755511363735e+06 1.120000000000000107e+00
3.200000000000000000e+01 2.144098713505830616e+06 1.060000000000000053e+00
4.600000000000000000e+01 5.972535872753366828e+06 9.399999999999999467e-01
4.700000000000000000e+01 2.093972538344274508e+06 1.239999999999999991e+00
3.500000000000000000e+01 1.843455285715910140e+06 1.239999999999999991e+00
3.900000000000000000e+01 1.503583879498085473e+06 1.360000000000000098e+00
2.600000000000000000e+01 2.341571943713760935e+06 9.399999999999999467e-01
2.500000000000000000e+01 2.787481266226646956e+06 1.060000000000000053e+00
2.300000000000000000e+01 3.207389545099934563e+06 1.229999999999999982e+00
3.900000000000000000e+01 4.644072056202468462e+06 1.030000000000000027e+00
2.600000000000000000e+01 4.840663889844060875e+06 1.100000000000000089e+00
3.300000000000000000e+01 2.103031226212083828e+06 9.399999999999999467e-01
2.800000000000000000e+01 5.378808962230184115e+06 8.599999999999999867e-01
2.900000000000000000e+01 1.620790348957229173e+06 1.100000000000000089e+00
5.100000000000000000e+01 1.513880370947483229e+06 9.699999999999999734e-01
3.700000000000000000e+01 4.481714534131711349e+06 1.330000000000000071e+00
4.000000000000000000e+01 2.390299775753484108e+06 1.159999999999999920e+00
2.700000000000000000e+01 2.322837618458704092e+06 9.899999999999999911e-01
2.400000000000000000e+01 2.104514357122978196e+06 1.120000000000000107e+00
3.300000000000000000e+01 2.623744084767763037e+06 1.100000000000000089e+00
2.600000000000000000e+01 1.530743614946654066e+06 1.050000000000000044e+00
2.900000000000000000e+01 3.653907356805188116e+06 1.100000000000000089e+00
6.600000000000000000e+01 4.003038045890196227e+06 8.000000000000000444e-01
4.100000000000000000e+01 2.160680540084492415e+06 9.799999999999999822e-01
5.300000000000000000e+01 2.156467312261932995e+06 1.010000000000000009e+00
3.100000000000000000e+01 1.671851149439126253e+06 1.330000000000000071e+00
3.100000000000000000e+01 1.520038344493006589e+06 1.239999999999999991e+00
2.400000000000000000e+01 1.541943158505100524e+06 1.469999999999999973e+00
2.500000000000000000e+01 2.176179463506259490e+06 8.599999999999999867e-01
2.900000000000000000e+01 3.712078019324946683e+06 1.080000000000000071e+00
3.900000000000000000e+01 3.197382277711106930e+06 1.389999999999999902e+00
3.600000000000000000e+01 2.124499557618324645e+06 1.139999999999999902e+00
2.100000000000000000e+01 2.142243497463221662e+06 1.090000000000000080e+00
3.300000000000000000e+01 1.630803842215006473e+06 9.899999999999999911e-01
2.800000000000000000e+01 1.636181772038759198e+06 1.120000000000000107e+00
3.200000000000000000e+01 2.952255619524446316e+06 9.000000000000000222e-01
2.300000000000000000e+01 4.096319603476741817e+06 1.379999999999999893e+00
2.600000000000000000e+01 4.071642779866468627e+06 9.799999999999999822e-01
4.500000000000000000e+01 2.511350666747753043e+06 9.000000000000000222e-01
2.300000000000000000e+01 1.492948050101346336e+06 1.010000000000000009e+00
3.600000000000000000e+01 2.593840399766901042e+06 1.080000000000000071e+00
2.900000000000000000e+01 2.414719573363634292e+06 8.000000000000000444e-01
2.300000000000000000e+01 3.080840091851880774e+06 1.080000000000000071e+00
2.100000000000000000e+01 2.701324281870554667e+06 9.899999999999999911e-01
5.000000000000000000e+01 2.554161480977658648e+06 1.090000000000000080e+00
2.800000000000000000e+01 1.650601767586423084e+06 1.239999999999999991e+00
5.100000000000000000e+01 1.551938467785252724e+06 9.899999999999999911e-01
2.400000000000000000e+01 2.070583434295630781e+06 9.100000000000000311e-01
2.100000000000000000e+01 2.257182333356305026e+06 9.100000000000000311e-01
3.700000000000000000e+01 2.046586510198808508e+06 9.699999999999999734e-01
2.200000000000000000e+01 2.373413725377298426e+06 9.699999999999999734e-01
3.500000000000000000e+01 1.998075328735087998e+06 1.030000000000000027e+00
2.600000000000000000e+01 2.000526489158414770e+06 8.900000000000000133e-01
3.100000000000000000e+01 2.000029579319915269e+06 1.189999999999999947e+00
3.500000000000000000e+01 2.014843641677075066e+06 1.209999999999999964e+00
3.700000000000000000e+01 2.625644839446548838e+06 8.900000000000000133e-01
2.300000000000000000e+01 2.871590106819898821e+06 9.699999999999999734e-01
2.700000000000000000e+01 2.908290326034350786e+06 9.300000000000000488e-01
2.600000000000000000e+01 1.594720720506248064e+06 9.799999999999999822e-01
3.000000000000000000e+01 2.815937807961705606e+06 9.899999999999999911e-01
2.300000000000000000e+01 2.014459713392481674e+06 8.499999999999999778e-01
2.900000000000000000e+01 1.744463815891990904e+06 9.399999999999999467e-01
2.800000000000000000e+01 2.637961439348170999e+06 1.090000000000000080e+00
3.600000000000000000e+01 2.077584465786525514e+06 1.120000000000000107e+00
3.600000000000000000e+01 2.338627240527160466e+06 1.330000000000000071e+00
3.600000000000000000e+01 3.725843197186103556e+06 1.280000000000000027e+00
2.600000000000000000e+01 2.064959768974051345e+06 1.570000000000000062e+00
2.700000000000000000e+01 2.399976823154643644e+06 9.599999999999999645e-01
2.300000000000000000e+01 2.314038702066155616e+06 1.080000000000000071e+00
2.500000000000000000e+01 3.054009521246129647e+06 1.350000000000000089e+00
2.900000000000000000e+01 2.019048287964747055e+06 1.080000000000000071e+00
2.700000000000000000e+01 2.264586520435951184e+06 1.270000000000000018e+00
5.300000000000000000e+01 2.079024036928538466e+06 1.080000000000000071e+00
2.300000000000000000e+01 1.630064420359711861e+06 1.050000000000000044e+00
2.100000000000000000e+01 2.991703753459487576e+06 9.000000000000000222e-01
2.700000000000000000e+01 1.985137103678301675e+06 1.360000000000000098e+00
3.500000000000000000e+01 2.540732547061697580e+06 1.159999999999999920e+00
2.400000000000000000e+01 3.581097542518304661e+06 9.100000000000000311e-01
4.500000000000000000e+01 1.758321907693042886e+06 9.599999999999999645e-01
3.400000000000000000e+01 2.286227501421456691e+06 1.159999999999999920e+00
3.200000000000000000e+01 2.137837954112598673e+06 1.439999999999999947e+00
2.300000000000000000e+01 1.597144950697082793e+06 9.899999999999999911e-01
4.100000000000000000e+01 2.303745746481284034e+06 9.000000000000000222e-01
3.000000000000000000e+01 2.902206908823888283e+06 8.000000000000000444e-01
2.400000000000000000e+01 2.353662890893766657e+06 1.060000000000000053e+00
3.300000000000000000e+01 2.369555566244928166e+06 1.090000000000000080e+00
2.800000000000000000e+01 1.651375810957651585e+06 9.799999999999999822e-01
5.300000000000000000e+01 2.247138918509689625e+06 1.010000000000000009e+00
3.600000000000000000e+01 2.131578888139632065e+06 9.599999999999999645e-01
3.600000000000000000e+01 3.402700879509378225e+06 1.080000000000000071e+00
2.900000000000000000e+01 1.514208070043315180e+06 1.330000000000000071e+00
2.700000000000000000e+01 1.517701418421029812e+06 1.129999999999999893e+00
3.500000000000000000e+01 2.254653997123177163e+06 8.499999999999999778e-01
2.400000000000000000e+01 2.177701553396855947e+06 9.899999999999999911e-01
2.100000000000000000e+01 1.561562355611003703e+06 8.100000000000000533e-01
2.900000000000000000e+01 2.064999936369146686e+06 1.100000000000000089e+00
2.900000000000000000e+01 1.527612804984269664e+06 9.699999999999999734e-01
4.600000000000000000e+01 2.285937577187404502e+06 8.900000000000000133e-01
2.900000000000000000e+01 2.886227510216468014e+06 1.080000000000000071e+00
3.500000000000000000e+01 2.203807584326120093e+06 9.399999999999999467e-01
3.500000000000000000e+01 1.595973513318772195e+06 1.189999999999999947e+00
3.000000000000000000e+01 2.160720473333423026e+06 9.799999999999999822e-01
3.100000000000000000e+01 2.548491368795013521e+06 1.030000000000000027e+00
2.400000000000000000e+01 2.085765939127061283e+06 9.399999999999999467e-01
3.600000000000000000e+01 1.985769153129449114e+06 1.260000000000000009e+00
3.500000000000000000e+01 1.900169453302321956e+06 1.169999999999999929e+00
2.300000000000000000e+01 1.653047172550230986e+06 1.010000000000000009e+00
2.800000000000000000e+01 1.912374855696660466e+06 1.050000000000000044e+00
3.000000000000000000e+01 1.584246060898300027e+06 1.060000000000000053e+00
2.900000000000000000e+01 1.910482585381801939e+06 9.599999999999999645e-01
5.900000000000000000e+01 1.882540499498437159e+06 8.800000000000000044e-01
2.200000000000000000e+01 1.830180908014095854e+06 9.300000000000000488e-01
2.100000000000000000e+01 1.520322057601816254e+06 9.799999999999999822e-01
4.000000000000000000e+01 2.323954725622423459e+06 1.100000000000000089e+00
2.300000000000000000e+01 2.181237103035583161e+06 9.399999999999999467e-01
2.200000000000000000e+01 1.541304932676719036e+06 1.060000000000000053e+00
2.300000000000000000e+01 2.450744003847064916e+06 1.030000000000000027e+00
4.200000000000000000e+01 1.650987236058187438e+06 9.000000000000000222e-01
4.000000000000000000e+01 2.258832446519093588e+06 1.010000000000000009e+00
3.800000000000000000e+01 2.250683802487045992e+06 1.060000000000000053e+00
3.500000000000000000e+01 2.213639978203044739e+06 1.270000000000000018e+00
7.900000000000000000e+01 1.503170452019401593e+06 9.599999999999999645e-01
3.000000000000000000e+01 1.491970545528959716e+06 7.800000000000000266e-01
2.100000000000000000e+01 1.522543886060476303e+06 9.000000000000000222e-01
2.800000000000000000e+01 2.045969214248053264e+06 1.050000000000000044e+00
2.700000000000000000e+01 2.276136099426019005e+06 1.189999999999999947e+00
3.700000000000000000e+01 1.394427720327769872e+06 1.050000000000000044e+00
3.500000000000000000e+01 1.453721499146275455e+06 1.139999999999999902e+00
2.600000000000000000e+01 1.360913697015848942e+06 8.800000000000000044e-01
4.000000000000000000e+01 2.229445307847016025e+06 1.060000000000000053e+00
5.400000000000000000e+01 2.132682060539757833e+06 9.000000000000000222e-01
3.000000000000000000e+01 2.220251035436928272e+06 9.899999999999999911e-01
3.600000000000000000e+01 1.425825893389820354e+06 1.120000000000000107e+00
3.000000000000000000e+01 2.096287022585997591e+06 1.229999999999999982e+00
2.200000000000000000e+01 2.026915176694828551e+06 1.050000000000000044e+00
2.200000000000000000e+01 1.969519956103802891e+06 8.900000000000000133e-01
3.700000000000000000e+01 5.138301134699443355e+06 1.239999999999999991e+00
2.300000000000000000e+01 4.211976774627443403e+06 1.350000000000000089e+00
2.300000000000000000e+01 4.034649771196940448e+06 1.139999999999999902e+00
2.600000000000000000e+01 4.289870656820609234e+06 8.000000000000000444e-01
3.500000000000000000e+01 3.596561838687118609e+06 1.100000000000000089e+00
2.400000000000000000e+01 3.671046466805809177e+06 1.129999999999999893e+00
2.500000000000000000e+01 3.680393990249158815e+06 1.189999999999999947e+00
2.700000000000000000e+01 3.238301170785570052e+06 1.340000000000000080e+00
3.700000000000000000e+01 3.269095892004651483e+06 1.060000000000000053e+00
2.600000000000000000e+01 3.521974227220471017e+06 8.800000000000000044e-01
2.900000000000000000e+01 3.650155967310887761e+06 1.260000000000000009e+00
4.000000000000000000e+01 3.188200671624662355e+06 1.189999999999999947e+00
3.800000000000000000e+01 3.291048999387617223e+06 1.020000000000000018e+00
2.700000000000000000e+01 3.320958483190474566e+06 1.169999999999999929e+00
3.000000000000000000e+01 3.826633786611767486e+06 1.050000000000000044e+00
2.500000000000000000e+01 4.308557540335597470e+06 1.030000000000000027e+00
3.300000000000000000e+01 3.086839423187060282e+06 1.239999999999999991e+00
3.700000000000000000e+01 2.900312766305941623e+06 9.699999999999999734e-01
2.600000000000000000e+01 3.252892249854910653e+06 1.439999999999999947e+00
3.500000000000000000e+01 3.335925082453137729e+06 1.030000000000000027e+00
3.000000000000000000e+01 3.632068795191486832e+06 1.169999999999999929e+00
2.700000000000000000e+01 2.997796174507206306e+06 1.169999999999999929e+00
2.300000000000000000e+01 4.385010787123621441e+06 1.010000000000000009e+00
2.500000000000000000e+01 3.094270655032282695e+06 1.169999999999999929e+00
3.700000000000000000e+01 3.394369281513217837e+06 9.799999999999999822e-01
5.300000000000000000e+01 4.362437347335568629e+06 9.599999999999999645e-01
3.200000000000000000e+01 3.213467914357158355e+06 7.900000000000000355e-01
3.400000000000000000e+01 4.944078377045942470e+06 1.100000000000000089e+00
3.300000000000000000e+01 4.984651540722684003e+06 1.449999999999999956e+00
2.900000000000000000e+01 4.088078244221397676e+06 1.120000000000000107e+00
2.600000000000000000e+01 2.864450121355532203e+06 1.080000000000000071e+00
2.800000000000000000e+01 2.840813709927801043e+06 9.599999999999999645e-01
2.300000000000000000e+01 2.775815508645539172e+06 1.010000000000000009e+00
3.200000000000000000e+01 3.375806116382733453e+06 1.120000000000000107e+00
3.100000000000000000e+01 4.710338061024051160e+06 9.799999999999999822e-01
