# lams weight z
3.300000000000000000e+01 1.614198883155523567e+06 9.699999999999999734e-01
2.400000000000000000e+01 2.826762204717202578e+06 9.100000000000000311e-01
2.300000000000000000e+01 2.089150066604448482e+06 1.010000000000000009e+00
3.900000000000000000e+01 2.250740044811507221e+06 1.159999999999999920e+00
4.000000000000000000e+01 1.099430580124067329e+07 1.020000000000000018e+00
2.400000000000000000e+01 2.632626125711471774e+06 1.100000000000000089e+00
2.100000000000000000e+01 1.666690287260938436e+06 1.129999999999999893e+00
2.700000000000000000e+01 2.549884628707329743e+06 1.750000000000000000e+00
2.900000000000000000e+01 1.580775103693062440e+06 9.300000000000000488e-01
3.700000000000000000e+01 1.794939393977654632e+06 1.060000000000000053e+00
2.500000000000000000e+01 2.606805367458166555e+06 9.599999999999999645e-01
4.100000000000000000e+01 1.186280850654850341e+07 9.899999999999999911e-01
5.600000000000000000e+01 2.563433575096729212e+06 1.239999999999999991e+00
2.700000000000000000e+01 1.316049827893673256e+07 1.439999999999999947e+00
2.100000000000000000e+01 2.496071409168985672e+06 1.100000000000000089e+00
4.000000000000000000e+01 2.456461967709834687e+06 1.080000000000000071e+00
2.700000000000000000e+01 4.018328887185575441e+06 9.699999999999999734e-01
4.500000000000000000e+01 2.593877641853770241e+06 1.189999999999999947e+00
2.800000000000000000e+01 1.662281483958468307e+06 1.080000000000000071e+00
2.200000000000000000e+01 1.047499423259147070e+07 1.479999999999999982e+00
3.600000000000000000e+01 2.372070677351697348e+06 1.050000000000000044e+00
2.700000000000000000e+01 1.665867300624684896e+06 1.399999999999999911e+00
3.200000000000000000e+01 2.644950856329153292e+06 1.020000000000000018e+00
2.800000000000000000e+01 1.590901268166897353e+06 1.129999999999999893e+00
3.700000000000000000e+01 2.640214690959653817e+06 1.030000000000000027e+00
5.000000000000000000e+01 2.549354147922373842e+06 9.699999999999999734e-01
3.400000000000000000e+01 1.310478187464885414e+07 1.100000000000000089e+00
4.100000000000000000e+01 2.532316345630294643e+06 1.030000000000000027e+00
2.500000000000000000e+01 2.575074399007583968e+06 1.360000000000000098e+00
3.800000000000000000e+01 3.859057647158164997e+06 9.399999999999999467e-01
3.400000000000000000e+01 6.133437500977867283e+06 9.000000000000000222e-01
5.200000000000000000e+01 2.733228145241945516e+06 8.800000000000000044e-01
2.200000000000000000e+01 1.385857086915213801e+07 8.599999999999999867e-01
3.800000000000000000e+01 1.423582350921278447e+07 9.899999999999999911e-01
4.100000000000000000e+01 2.123604457186364103e+06 1.020000000000000018e+00
2.200000000000000000e+01 1.356489747944204137e+07 1.429999999999999938e+00
2.100000000000000000e+01 1.686961185740660178e+06 1.120000000000000107e+00
3.200000000000000000e+01 2.962309795103543904e+06 9.899999999999999911e-01
2.700000000000000000e+01 1.242704149154776335e+07 1.189999999999999947e+00
2.600000000000000000e+01 3.050356588136518374e+06 1.469999999999999973e+00
2.900000000000000000e+01 9.814970782719675452e+06 1.360000000000000098e+00
2.800000000000000000e+01 1.749994587172057945e+06 1.080000000000000071e+00
3.300000000000000000e+01 2.581845057942968328e+06 1.290000000000000036e+00
4.100000000000000000e+01 1.615114383929377887e+06 1.139999999999999902e+00
3.000000000000000000e+01 9.363401608403380960e+06 1.139999999999999902e+00
2.900000000000000000e+01 2.471653374099674635e+06 1.229999999999999982e+00
2.200000000000000000e+01 1.615060905383135425e+06 9.399999999999999467e-01
3.300000000000000000e+01 2.388415962850606535e+06 1.129999999999999893e+00
2.200000000000000000e+01 7.794209575294504873e+06 7.500000000000000000e-01
2.300000000000000000e+01 9.110439641999710351e+06 9.899999999999999911e-01
2.700000000000000000e+01 1.208880409053546935e+07 1.260000000000000009e+00
